route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
24,LAB,973D0V0,València,0,9730,SHP_973_V
24,LAB,973D0V1,El Palmar,0,9730,SHP_973_I
24,LAB,973D0V2,València,0,9730,SHP_973_V
24,LAB,973D0V3,El Palmar,0,9730,SHP_973_I
24,LAB,973D0V4,València,0,9730,SHP_973_V
24,LAB,973D0V5,El Palmar,0,9730,SHP_973_I
24,LAB,973D0V6,València,0,9730,SHP_973_V
24,LAB,973D0V7,El Palmar,0,9730,SHP_973_I
24,LAB,973D0V8,València,0,9730,SHP_973_V
24,LAB,973D0V9,El Palmar,0,9730,SHP_973_I
24,LAB,973D0V10,València,0,9730,SHP_973_V
24,LAB,973D0V11,El Palmar,0,9730,SHP_973_I
24,LAB,973D0V12,València,0,9730,SHP_973_V
24,LAB,973D0V13,El Palmar,0,9730,SHP_973_I
24,LAB,973D0V14,València,0,9730,SHP_973_V
24,LAB,973D0V15,El Palmar,0,9730,SHP_973_I
24,LAB,973D0V16,València,0,9730,SHP_973_V
24,LAB,973D0V17,El Palmar,0,9730,SHP_973_I
24,LAB,973D0V18,València,0,9730,SHP_973_V
24,LAB,973D0V19,El Palmar,0,9730,SHP_973_I
24,LAB,973D0V20,València,0,9730,SHP_973_V
24,LAB,973D0V21,El Palmar,0,9730,SHP_973_I
24,LAB,973D0V22,València,0,9730,SHP_973_V
24,LAB,973D0V23,El Palmar,0,9730,SHP_973_I
24,LAB,973D0V24,València,0,9730,SHP_973_V
24,LAB,973D0V25,El Palmar,0,9730,SHP_973_I
24,LAB,973D0V26,València,0,9730,SHP_973_V
24,LAB,973D0V27,València,0,9730,SHP_973_V
24,LAB,973D0V28,El Palmar,0,9730,SHP_973_I
24,SAB,973D1V0,El Palmar,0,9731,SHP_973_I
24,SAB,973D1V1,València,0,9731,SHP_973_V
24,SAB,973D1V2,El Palmar,0,9731,SHP_973_I
24,SAB,973D1V3,València,0,9731,SHP_973_V
24,SAB,973D1V4,El Palmar,0,9731,SHP_973_I
24,SAB,973D1V5,València,0,9731,SHP_973_V
24,SAB,973D1V6,El Palmar,0,9731,SHP_973_I
24,SAB,973D1V7,València,0,9731,SHP_973_V
24,SAB,973D1V8,El Palmar,0,9731,SHP_973_I
24,SAB,973D1V9,València,0,9731,SHP_973_V
24,SAB,973D1V10,El Palmar,0,9731,SHP_973_I
24,SAB,973D1V11,València,0,9731,SHP_973_V
24,SAB,973D1V12,El Palmar,0,9731,SHP_973_I
24,SAB,973D1V13,València,0,9731,SHP_973_V
24,SAB,973D1V14,València,0,9731,SHP_973_V
24,SAB,973D1V15,El Palmar,0,9731,SHP_973_I
24,SAB,973D1V16,El Palmar,0,9731,SHP_973_I
24,SAB,973D1V17,València,0,9731,SHP_973_V
24,SAB,973D1V18,El Palmar,0,9731,SHP_973_I
24,SAB,973D1V19,València,0,9731,SHP_973_V
24,SAB,973D1V20,El Palmar,0,9731,SHP_973_I
